name,use_diffusion,use_gnn,use_lstm,epochs,walk_forward,Excess_RMSE,Excess_IR,per_asset_rmse,Uncertainty_Corr,include_denoised,mc_samples
Base_A_LSTM,False,False,True,50,True,0.1960163563489914,-0.040401187528022804,"[np.float32(0.16666488), np.float32(0.104141206), np.float32(0.12081084), np.float32(0.046505466), np.float32(0.13419367), np.float32(0.16346262), np.float32(0.40941083), np.float32(0.1991318)]",,,
DS-TGNN_V2.1.1_Triple,True,True,True,50,True,0.15951159596443176,0.052424898418828025,"[np.float32(0.13275898), np.float32(0.09501955), np.float32(0.14014857), np.float32(0.061036114), np.float32(0.14548324), np.float32(0.13531016), np.float32(0.3088936), np.float32(0.1365336)]",0.32272780252351846,True,50.0
DS-TGNN_V2.1.2_Score,True,True,True,50,True,0.18559148907661438,-0.03630819147050814,"[np.float32(0.124056116), np.float32(0.10999568), np.float32(0.17141971), np.float32(0.05546379), np.float32(0.15510583), np.float32(0.12456835), np.float32(0.36932036), np.float32(0.1990756)]",0.47653447117075337,False,50.0
