name,use_diffusion,use_gnn,use_lstm,epochs,RMSE,R2,Tail_RMSE,Strategy_IR,Uncertainty_Corr,mag_weighted,mc_samples
Base_A_LSTM,False,False,True,2,0.31115472316741943,-0.013005971908569336,0.6113613247871399,0.05915420824944819,,,
Base_B_GNN,False,True,False,2,0.2929508090019226,-0.02255845069885254,0.6035938858985901,0.6463657920660549,,,
Ablation_NoDiff,False,True,True,2,0.3175202012062073,-0.05698049068450928,0.6475746631622314,0.0289930653605469,,,
Ablation_NoGNN,True,False,True,2,0.30114176869392395,-0.2041921615600586,0.6313953995704651,0.025773208840233645,,,
Ablation_NoWeighted,True,True,True,2,0.27114811539649963,-0.18139290809631348,0.5238174200057983,-0.03332802432791595,,False,
Full_V1.1,True,True,True,2,0.26287946105003357,-0.17242062091827393,0.5027024745941162,0.5259220629698702,0.10505406896439369,True,50.0
